Unix_time, count, model, speed, loading_time
1739660256,1,deep_40,1,0.2157273292541504
1739660261,2,shallow_40,2,0.06676197052001953
1739660281,3,shallow_20,4,0.05375051498413086
1739660291,4,deep_40,1,0.19872069358825684
1739660311,5,shallow_40,2,0.052321672439575195
1739660316,6,deep_20,3,0.15747404098510742
1739660337,7,shallow_20,4,0.0715181827545166
1739660347,8,deep_40,1,0.24019598960876465
1739660357,9,shallow_40,2,0.06509065628051758
1739660372,10,shallow_20,4,0.05110287666320801
1739660382,11,shallow_40,2,0.03985714912414551
1739660397,12,shallow_20,4,0.04388284683227539
1739660402,13,shallow_40,2,0.04881167411804199
1739660407,14,shallow_20,4,0.05694890022277832
1739660423,15,deep_40,1,0.1256263256072998
1739660428,16,shallow_20,4,0.03791403770446777
1739660443,17,deep_20,3,0.14355945587158203
1739660458,18,shallow_20,4,0.038927555084228516
1739660463,19,shallow_40,2,0.045143842697143555
1739660478,20,deep_20,3,0.16843771934509277
1739660483,21,shallow_40,2,0.05386614799499512
1739660493,22,shallow_20,4,0.0608065128326416
1739660504,23,deep_40,1,0.15693306922912598
1739660534,24,shallow_20,4,0.05381202697753906
1739660539,25,deep_20,3,0.14298677444458008
1739660574,26,deep_40,1,0.14632272720336914
1739660599,27,deep_20,3,0.14669036865234375
1739660614,28,shallow_20,4,0.04091286659240723
1739660660,29,deep_20,3,0.19334721565246582
1739660670,30,shallow_40,2,0.0418543815612793
1739660715,31,deep_20,3,0.17237472534179688
1739660720,32,deep_40,1,0.18442940711975098
1739660731,33,shallow_20,4,0.056478261947631836
1739660741,34,deep_20,3,0.1514582633972168
1739660746,35,deep_40,1,0.16649699211120605
1739660756,36,shallow_20,4,0.04186105728149414
1739660761,37,shallow_40,2,0.04983639717102051
1739660771,38,shallow_20,4,0.04784393310546875
1739660786,39,deep_20,3,0.15551304817199707
1739660806,40,shallow_40,2,0.05586528778076172
1739660817,41,deep_20,3,0.15419650077819824
1739660837,42,deep_40,1,0.18644332885742188
1739660852,43,deep_20,3,0.16726040840148926
1739660862,44,deep_40,1,0.14252209663391113
1739660867,45,shallow_20,4,0.04025435447692871
1739660873,46,deep_40,1,0.15938043594360352
1739660903,47,deep_20,3,0.14157843589782715
1739660913,48,shallow_40,2,0.038909196853637695
1739660948,49,deep_40,1,0.13755536079406738
1739660968,50,deep_20,3,0.14755630493164062
1739660978,51,shallow_40,2,0.056209564208984375
1739660984,52,deep_20,3,0.16445684432983398
1739660994,53,shallow_20,4,0.05086779594421387
1739660999,54,shallow_40,2,0.041852712631225586
1739661004,55,deep_40,1,0.19737601280212402
1739661019,56,shallow_40,2,0.05088043212890625
1739661029,57,deep_20,3,0.15853166580200195
1739661044,58,shallow_40,2,0.04192042350769043
1739661070,59,deep_20,3,0.14655709266662598
1739661080,60,shallow_20,4,0.05083656311035156
1739661090,61,deep_40,1,0.16312861442565918
1739661125,62,shallow_20,4,0.04171109199523926
1739661155,63,deep_20,3,0.16681742668151855
1739661166,64,shallow_40,2,0.05959630012512207
1739661176,65,deep_40,1,0.13952970504760742
1739661181,66,shallow_20,4,0.03886604309082031
1739661186,67,deep_40,1,0.14950037002563477
1739661196,68,shallow_40,2,0.04322052001953125
1739661201,69,deep_20,3,0.16289806365966797
1739661206,70,deep_40,1,0.1385793685913086
1739661211,71,shallow_20,4,0.061298370361328125
1739661237,72,shallow_40,2,0.05814170837402344
1739661242,73,deep_20,3,0.16613316535949707
1739661287,74,shallow_20,4,0.05387377738952637
1739661307,75,deep_40,1,0.1484990119934082
1739661312,76,shallow_40,2,0.041524648666381836
1739661327,77,shallow_20,4,0.054859161376953125
1739661333,78,deep_40,1,0.18873906135559082
1739661343,79,deep_20,3,0.17040729522705078
1739661348,80,shallow_20,4,0.05690455436706543
1739661378,81,shallow_40,2,0.05481529235839844
1739661383,82,shallow_20,4,0.047888994216918945
1739661388,83,shallow_40,2,0.035927772521972656
1739661418,84,shallow_20,4,0.04497051239013672
1739661423,85,deep_40,1,0.1625821590423584
1739661434,86,deep_20,3,0.15318012237548828
1739661454,87,shallow_20,4,0.061841487884521484
1739661474,88,deep_20,3,0.14157938957214355
1739661504,89,shallow_20,4,0.04254508018493652
1739661509,90,deep_40,1,0.17090320587158203
1739661514,91,deep_20,3,0.14953875541687012
1739661520,92,shallow_40,2,0.04359149932861328
1739661530,93,shallow_20,4,0.06681561470031738
1739661535,94,shallow_40,2,0.06078839302062988
1739661555,95,deep_40,1,0.19031476974487305
1739661565,96,deep_20,3,0.14956331253051758
1739661570,97,deep_40,1,0.1614673137664795
1739661575,98,shallow_40,2,0.05082559585571289
1739661586,99,shallow_20,4,0.05249643325805664
1739661621,100,deep_20,3,0.21727609634399414
1739661636,101,deep_40,1,0.1696012020111084
1739661646,102,deep_20,3,0.23027372360229492
1739661667,103,deep_40,1,0.1764059066772461
1739661702,104,shallow_20,4,0.07678079605102539
1739661732,105,deep_20,3,0.24420976638793945
1739661747,106,shallow_20,4,0.0867457389831543
1739661752,107,shallow_40,2,0.08072781562805176
1739661763,108,deep_40,1,0.18698716163635254
1739661778,109,shallow_40,2,0.07838153839111328
1739661818,110,shallow_20,4,0.0846714973449707
1739661833,111,shallow_40,2,0.06079244613647461
1739661848,112,deep_40,1,0.21234703063964844
1739661853,113,shallow_40,2,0.06880497932434082
1739661859,114,shallow_20,4,0.06689071655273438
1739661864,115,deep_40,1,0.22524070739746094
1739661884,116,deep_20,3,0.24159479141235352
1739661889,117,shallow_20,4,0.06085014343261719
1739661899,118,shallow_40,2,0.08508586883544922
1739661910,119,deep_20,3,0.2248682975769043
1739661915,120,shallow_20,4,0.06794524192810059
1739661945,121,deep_20,3,0.35880112648010254
1739661965,122,shallow_20,4,0.08456277847290039
1739661991,123,deep_20,3,0.21786212921142578
1739662036,124,shallow_40,2,0.09069228172302246
1739662061,125,deep_40,1,0.22528505325317383
1739662101,126,shallow_40,2,0.08376145362854004
1739662111,127,deep_40,1,0.18483304977416992
1739662142,128,shallow_40,2,0.07180500030517578
1739662152,129,deep_40,1,0.20331072807312012
