unix_time, count, model, speed, loading_time
1739663965,1,deep_40,1,0.19706106185913086
1739663965,2,shallow_40,2,0.0466313362121582
1739663966,3,deep_20,3,0.13152241706848145
1739663966,4,shallow_20,3,0.03891277313232422
1739663966,1,deep_40,1,0.0
1739663981,2,shallow_40,2,0.0
1739663996,3,deep_20,3,0.0
1739664006,4,shallow_20,4,0.0
1739664021,5,deep_40,1,0.0
1739664051,6,shallow_20,4,0.0
1739664061,7,shallow_40,2,0.0
1739664066,8,deep_20,3,0.0
1739664076,9,shallow_40,2,0.0
1739664081,10,deep_20,3,0.0
1739664111,11,shallow_40,2,0.0
1739664141,12,deep_20,3,0.0
1739664146,13,deep_40,1,0.0
1739664151,14,shallow_40,2,0.0
1739664166,15,shallow_20,4,0.0
1739664171,16,shallow_40,2,0.0
1739664176,17,deep_40,1,0.0
1739664181,18,shallow_20,4,0.0
1739664191,19,deep_40,1,0.0
1739664201,20,deep_20,3,0.0
1739664206,21,deep_40,1,0.0
1739664217,22,shallow_40,2,0.0
1739664222,23,deep_40,1,0.0
1739664232,24,shallow_20,4,0.0
1739664237,25,shallow_40,2,0.0
1739664247,26,deep_20,3,0.0
1739664262,27,shallow_40,2,0.0
1739664272,28,deep_40,1,0.0
1739664277,29,shallow_40,2,0.0
1739664287,30,shallow_20,4,0.0
1739664292,31,shallow_40,2,0.0
1739664297,32,shallow_20,4,0.0
1739664317,33,deep_40,1,0.0
1739664357,34,deep_20,3,0.0
1739664372,35,deep_40,1,0.0
1739664402,36,deep_20,3,0.0
1739664427,37,deep_40,1,0.0
1739664442,38,shallow_40,2,0.0
1739664482,39,shallow_20,4,0.0
1739664487,40,deep_20,3,0.0
1739664518,41,shallow_20,4,0.0
1739664528,42,deep_40,1,0.0
1739664568,43,shallow_20,4,0.0
1739664578,44,shallow_40,2,0.0
1739664593,45,deep_40,1,0.0
1739664603,46,deep_20,3,0.0
1739664628,47,deep_40,1,0.0
1739664668,48,shallow_40,2,0.0
1739664683,49,shallow_20,4,0.0
1739664688,50,shallow_40,2,0.0
1739664723,51,deep_40,1,0.0
1739664728,52,shallow_20,4,0.0
1739664733,53,deep_40,1,0.0
1739664738,54,shallow_20,4,0.0
1739664763,55,deep_20,3,0.0
1739664768,56,shallow_20,4,0.0
1739664784,57,deep_20,3,0.0
1739664794,58,shallow_20,4,0.0
1739664799,59,deep_40,1,0.0
1739664814,60,shallow_20,4,0.0
1739664819,61,deep_40,1,0.0
1739664874,62,shallow_40,2,0.0
1739664884,63,deep_40,1,0.0
1739664894,64,deep_20,3,0.0
1739664914,65,shallow_40,2,0.0
1739664924,66,deep_40,1,0.0
1739664934,67,deep_20,3,0.0
1739664969,68,shallow_20,4,0.0
1739664974,69,shallow_40,2,0.0
1739664989,70,deep_40,1,0.0
1739664999,71,deep_20,3,0.0
1739665055,72,shallow_40,2,0.0
1739665060,73,shallow_20,4,0.0
1739665065,74,deep_20,3,0.0
1739665095,75,deep_40,1,0.0
1739665105,76,deep_20,3,0.0
1739665110,77,shallow_20,4,0.0
1739665115,78,deep_20,3,0.0
1739665135,79,shallow_20,4,0.0
1739665140,80,shallow_40,2,0.0
1739665150,81,deep_20,3,0.0
1739665155,82,shallow_40,2,0.0
1739665180,83,deep_20,3,0.0
1739665195,84,deep_40,1,0.0
1739665205,85,shallow_40,2,0.0
1739665220,86,deep_40,1,0.0
1739665230,87,shallow_20,4,0.0
1739665245,88,shallow_40,2,0.0
1739665255,89,deep_20,3,0.0
1739665260,90,shallow_40,2,0.0
1739665270,91,deep_20,3,0.0
1739665280,92,shallow_20,4,0.0
1739665300,93,deep_20,3,0.0
1739665310,94,deep_40,1,0.0
1739665320,95,shallow_20,4,0.0
1739665325,96,shallow_40,2,0.0
1739665346,97,shallow_20,4,0.0
1739665356,98,deep_20,3,0.0
1739665366,99,shallow_20,4,0.0
1739665381,100,shallow_40,2,0.0
1739665386,101,shallow_20,4,0.0
1739665396,102,deep_40,1,0.0
1739665421,103,deep_20,3,0.0
1739665431,104,shallow_20,4,0.0
1739665456,105,deep_40,1,0.0
1739665461,106,deep_20,3,0.0
1739665476,107,shallow_20,4,0.0
1739665501,108,deep_40,1,0.0
1739665526,109,shallow_40,2,0.0
1739665541,110,deep_40,1,0.0
1739665551,111,shallow_20,4,0.0
1739665586,112,deep_40,1,0.0
1739665592,113,shallow_20,4,0.0
1739665597,114,deep_40,1,0.0
1739665617,115,shallow_20,4,0.0
1739665637,116,deep_20,3,0.0
1739665642,117,shallow_20,4,0.0
1739665652,118,deep_40,1,0.0
1739665657,119,shallow_40,2,0.0
1739665697,120,deep_40,1,0.0
1739665707,121,shallow_20,4,0.0
1739665732,122,deep_20,3,0.0
1739665737,123,shallow_20,4,0.0
1739665742,124,deep_20,3,0.0
1739665802,125,shallow_20,4,0.0
1739665812,126,deep_20,3,0.0
